Course Name,Award,A Levels,UCAS Code,Duration,Start Month,Accreditation,Home Students Fees,Overseas Students Fees
Mathematics and Statistics,MMath,AAA,G110,4 years,September start,Accredited,"£9,250","£23,650"
Mathematics and Statistics,BSc,AAB,G112,3 years,September start,Accredited,"£9,250","£23,650"
Mathematics and Statistics with Placement Year,BSc,AAA,GG13,4 years,September start,Not found,"£9,250","£23,650"
Mathematics and Statistics with Placement Year,MMath,AAA,GG14,5 years,September start,Accredited,"£9,250","£23,650"
Mathematics with French,MMath,AAB,G1R1,4 years,September start,Not found,"£9,250","£23,650"
Mathematics with German,MMath,AAB,G1R2,4 years,September start,Not found,"£9,250","£23,650"
Mathematics with Placement Year,BSc,AAA,GG11,4 years,September start,Not found,"£9,250","£23,650"
Mathematics with Placement Year,MMath,AAA,GG12,5 years,September start,Not found,"£9,250","£23,650"
Mathematics with Spanish,MMath,AAB,G1R4,4 years,September start,Not found,"£9,250","£23,650"
Mechanical Engineering,BEng,AAA,H302,3 years,September start,Accredited,"£9,250","£26,950"
Mechanical Engineering,MEng,AAA,H300,4 years,September start,Accredited,"£9,250","£26,950"
Mechanical Engineering with a Foundation Year,BEng | MEng,BBB; BBC,H301,5 years,September start,Accredited,"£9,250","£26,950"
Mechanical Engineering with a Year in North America,MEng,AAA,H3T7,,September start,Accredited,"£9,250","£26,950"
Mechanical Engineering with an Industrial Placement Year,MEng,AAA,H304,5 years,September start,Accredited,"£9,250","£26,950"
Mechanical Engineering with an Industrial Placement Year,BEng,AAA,H305,4 years,September start,Accredited,"£9,250","£26,950"
Mechatronic and Robotic Engineering,MEng,AAA,H360,4 years,September start,Accredited,"£9,250","£26,950"
Mechatronic and Robotic Engineering,BEng,AAB,H361,3 years,September start,Accredited,"£9,250","£26,950"
Mechatronic and Robotic Engineering with an Industrial Placement Year,BEng,AAB,2G36,4 years,September start,Accredited,"£9,250","£26,950"
Mechatronic and Robotic Engineering with an Industrial Placement Year,MEng,AAA,2S15,5 years,September start,Accredited,"£9,250","£26,950"
Medical Genetics,MBiolSci,AAA,C433,4 years,September start,Accredited,"£9,250","£26,950"
Medical Genetics,BSc,AAB,C431,3 years,September start,Accredited,"£9,250","£26,950"
Medical Genetics with an Industrial Placement Year,BSc,AAB,C436,4 years,September start,Accredited,"£9,250","£26,950"
Medical Microbiology,MBiolSci,AAA,C523,4 years,September start,Accredited,"£9,250","£26,950"
